party,iso3,unfccc_yr,unfccc_net,unfccc_gross,primap_yr,primap_net,primap_gross,peak_yr_net,peak_ghg_net,peak_yr_gross,peak_ghg_gross,nz_yr,ndc30_low,ndc30_high,ndc30_lulucf,ndc35_low,ndc35_high,ndc35_lulucf,s2z_aligned_label,s2z_pk_low,s2z_pk_high,s2z_ndc30_low,s2z_ndc30_high,s2z_latest,c1_ghg_p5,c1_ghg_p95,c2_ghg_p5,c2_ghg_p95,c3_ghg_p5,c3_ghg_p95,c4_ghg_p5,c4_ghg_p95,c5_ghg_p5,c5_ghg_p95,c6_ghg_p5,c6_ghg_p95,c7_ghg_p5,c7_ghg_p95,nz_min,nz_max,b2c_min,b2c_max,fw_min,fw_max,cp_min,cp_max
Saudi Arabia,SAU,2021,708642.7192000001,716119.4456349047,2024,846565.65,854225.75,,,,,2060,,,,,,,,,,,,546256.765155078,502516.7071122935,554521.1573958327,338155.6396484375,740883.5416962821,320820.4956054688,765943.2607472667,442821.3043212891,816852.6533678188,456200.8972167969,835261.4115023945,509863.4643554688,1003600.001245935,655117.0654296875,1005462.421737947,215737.1,423877.2,223016.8,493591.8,439370.7,647332.6,476162.2,623596
Senegal,SEN,2005,2179.48,13580.08,2024,32869.224,32297.061,,,,,,26810.31,35117.73,Yes,,,,,,,,,,,,,,,,,,,,,,,,15573.1,20834.2,13452.7,23662.2,25073.1,37891.2,39262.7,50776.7
Serbia,SRB,2022,58022.66952,62571.55504973442,2024,55713.528,60607.285,1990,81254.98278999999,1990,82666.8293204785,,42554.5936026682,42554.5936026682,No,49517.43076296662,49517.43076296662,No,,,,,,,,,,,,,,,,,,,,,13890.9,35295.5,9869.799999999999,46820.7,40028.9,59556.2,36307.1,56793.8
Seychelles,SYC,2022,54.34,688.14,2024,776.1346600000001,776.1346600000001,,,,,2050,820.6999999999999,820.6999999999999,Yes,,,,,,,,,29.11071428571388,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,SLE,,,,2024,22138.48,12616.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,SGP,2022,58586.11899,58548.77731040084,2024,67836.147,67809.44500000001,2030,,,,2050,60000,60000,Yes,45000,50000,Yes,Yes,45000,45000,45000,45000,39136.23864716556,,,,,,,,,,,,,,,17840.7,35057.2,23711.2,41905.9,28157.7,75139.60000000001,32310.8,88937.60000000001
Solomon Islands,SLB,2022,-31180.93196,576.8323364967372,2024,-28231.32,603.60952,,,2020,640.2181140763483,2050,903.2,1014,No,997.6999999999999,1109.4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,SOM,,,,2024,43833.346,38777.354,2032,57500,,,,75173,75173,Yes,55400.00000000001,80700,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,ZAF,2022,432524.4551,475705.760606254,2024,456821.4,488142.64,2008,528059.3828,2009,546116.0408566338,2050,350000,420000,Yes,320000,380000,Yes,No,188592.6367142856,188592.6367142856,262500,315000,260441.7932884171,-30109.82301267252,256962.470699124,75919.93713378906,353941.7419433594,27340.469024966,361940.6127929688,257183.2771663368,398275.0636232752,251397.9034423828,534221.9064397371,199568.099975586,656486.8734412349,489756.1950683594,895283.615815941,84437,231364.1,88215.90000000001,273563.4,304596,328177.5,422392.1,725168.6
Sri Lanka,LKA,2021,19052.03,28944.2,2024,64895.73,34484.959,,,,,2050,,,,,,,,,,,,9854.49827586217,,,,,,,,,,,,,,,26668.9,47906.2,23061,48381.9,33532.5,59584.6,39807.8,90418.40000000001
Sudan,SDN,2000,77220.60000000001,67839.60000000001,2024,123404.73,123404.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43677.4,81980.3,46174,84640,63968.9,88144.90000000001,67725.09999999999,112540.3
Suriname,SUR,2003,4870.73,3330,2024,5476.7341,4724.6109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2103.2,1025.8,-3184.5,1310.9,-174.6,283.2,-3130.4,388.7
